id,channel,triggerType,persona,gender,psychologicalTrigger,daysInactive,title,body,text,variables,clickCount,completionRate
TI4uZdYyGkag0tMY6m0R,retention,Inactivity,,both,FOMO,1,,,זמן להתאושש. בוא/י לאימון בנייה מחדש כדי להמשיך חזק יותר.,,,
TXT3SSrOmVOdAvZhZIVo,retention,Inactivity,,both,FOMO,1,,,"הקצב שלך השתפר, @שם! בוא/י לבוסט ל-@basePace.","@שם,@basePace",,
VK6dWPq9Zhg2XiGcIapM,retention,Inactivity,,both,FOMO,1,,,"ריצת 5 ק""מ ב-Flow. בוא/י לראות כמה ה-@basePace נהיה קל.",@basePace,,
Xrh5JYSCrSRZENun7E6n,retention,Inactivity,,both,FOMO,1,,,כובשים את העלייה! בוא/י לבנות רגליים שלא נשברות בריצה.,,,
YvnsvFqSkHrc2uCIKwK4,retention,Inactivity,,both,FOMO,1,,,"חזקים ב-10 ק""מ. בוא/י לאימון שיבנה לך חוסן מנטלי.",,,
aTzHrIdOZqaLQlfBJ1VC,retention,Inactivity,,both,FOMO,1,,,זה היום שלך! כל העבודה הקשה מתנקזת לריצה של היום. בהצלחה!,,,
abb956b4,retention,Inactivity,,both,FOMO,1,,,"@שם, ה@מיקום מוכן. @זמן_אימון דקות של @קטגוריה ברמה גבוהה מחכות לך.","@שם,@מיקום,@זמן_אימון,@קטגוריה",,
b3GaBunOt0DqWt28APth,retention,Inactivity,,both,FOMO,1,,,"מוכן/ה לדו-ספרתי? 10 ק""מ של סיפוק מחכים לך.",,,
bLIdg9kBIlLgZsKzi5nj,retention,Inactivity,,both,FOMO,1,,,"זמן לחתוך זמנים ב-10 ק""מ. בוא/י נשפר את הקצב היום.",,,
bWi2twoRuUJ4DQexGcV4,retention,Inactivity,,both,FOMO,1,,,"שלום מחו""ל! בוא/י להכיר את העיר דרך הרגליים בריצה קלה.",,,
bf038986,retention,Inactivity,,both,FOMO,1,,,זמן ל@קטגוריה. צא/י ל@מיקום ל-@זמן_אימון דקות של עבודה נקייה.,"@קטגוריה,@מיקום,@זמן_אימון",,
c3857564,retention,Inactivity,,both,FOMO,1,,,אימון מלא ב@מיקום. @בוא/י נסגור את ה@סטטוס_נפח השבועי ב-@זמן_אימון דקות.,"@מיקום,@בוא,@סטטוס_נפח,@זמן_אימון",,
c5cdb22c,retention,Inactivity,,both,FOMO,1,,,"@שם, מוכנ/ה לביצוע שיא? @זמן_אימון דקות של @קטגוריה ב@מיקום.","@שם,@זמן_אימון,@קטגוריה,@מיקום",,
dnaok7SPsze5O33fj9sN,retention,Inactivity,,both,FOMO,1,,,סומכים על התהליך. שבוע Taper – נחים חזק לקראת היעד.,,,
e6X2i6zIAPD43GiLkt2I,retention,Inactivity,,both,FOMO,1,,,"שבוע השיא כאן. @שם, בוא/י להראות מאיזה חומר את/ה קורצ/ה.",@שם,,
egAoV5ufLsI3gsOaRFG4,retention,Inactivity,,both,FOMO,1,,,מבחן של אלופים. בוא/י לראות איך החוסן המנטלי שלך בשבוע @weekNumber.,@weekNumber,,
f3fce028,retention,Inactivity,,both,FOMO,1,,,ה@מיקום פנוי עכשיו. בוא/י לסגור את המכסה היומית ב-@זמן_אימון דקות.,"@מיקום,@זמן_אימון",,
fsCxQgN0zbRi3KbIOb4H,retention,Inactivity,,both,FOMO,1,,,"ה-@basePace שלך השתפר! בוא/י לשבור שיא ב-5 ק""מ.",@basePace,,
gOTSX0d9beTJ0VATo2kL,retention,Inactivity,,both,FOMO,1,,,"שבוע Taper התחיל. פחות ריצה, יותר מנוחה. סומכים על התהליך.",,,
gQnvu60ThSnUGrlP1N5y,retention,Inactivity,,both,FOMO,1,,,שבוע שני בתוכנית. בוא/י לשמור על המומנטום שבנית שבוע שעבר.,,,
gdGtyKJSHgexFwb7K6RV,retention,Inactivity,,both,FOMO,1,,,"בדרך לקצב בסיס חדש! @שם, בוא/י לשבור שיא אישי.",@שם,,
h6GIzEjF02I0cBuaOywW,retention,Inactivity,,both,FOMO,1,,,כבר רואים את הסוף! בוא/י לסגור אימון חזק בשבוע @weekNumber.,@weekNumber,,
j4ngWTSw9TmeLACQtsa8,retention,Inactivity,,both,FOMO,1,,,"שומרים על רמה @רמה ב-5 ק""מ. בוא/י לאימון זורם.",@רמה,,
jj6NUXOteTf6AyD3xe8G,retention,Inactivity,,both,FOMO,1,,,מוכן/ה לשבור שיא? בוא/י לאינטרוולים ארוכים לשיפור הסיבולת.,,,
kA6NR8Qq5ycwiM5ZF0kF,retention,Inactivity,,both,FOMO,1,,,"3 ק""מ של עוצמה. בוא/י לשפר את המהירות המקסימלית.",,,
kRG098yVHAG4geCE3wVm,retention,Inactivity,,both,FOMO,1,,,תראי/ה כמה התקדמת! שבוע @weekNumber ואת/ה בגרסה הרבה יותר חזקה.,@weekNumber,,
lyCSZ8UcOOP1WBdhkr3V,retention,Inactivity,,both,FOMO,1,,,היעד: 100 בבראור. @זמן_אימון דקות של פוקוס ואת/ה שם.,@זמן_אימון,,
paJN7rCLPOWluUvc3dfo,retention,Inactivity,,both,FOMO,1,,,חצי דרך מאחוריך! שבוע @weekNumber בתוכנית ה-@targetDistanceLabel.,"@weekNumber,@targetDistanceLabel",,
rDCpA9A4Q3FeLGhl0Q2z,retention,Inactivity,,both,FOMO,1,,,"רוצה לרוץ 3 ק""מ מהר יותר? בוא/י לשפר את ה-@basePace.",@basePace,,
reuuLrfMeRp4VykzKpI7,retention,Inactivity,,both,FOMO,1,,,"בדרך למרוץ 10 ק""מ? בוא/י לאימון הכנה מדויק.",,,
rjxlRBfFlZctJpEtmFcY,retention,Inactivity,,both,FOMO,1,,,בונים כושר ב@מיקום. בוא/י לאימון שלב ה-Build לשיפור הקצב.,@מיקום,,
s30h0b6yLNqOMcZDR8vV,retention,Inactivity,,both,FOMO,1,,,יוצאים לדרך! שבוע ראשון בתוכנית הריצה מתחיל עכשיו. בוא/י נתניע.,,,
EKiXtlu1O5OBmcLIJZ6V,retention,Inactivity,army_combat,both,FOMO,1,,,"לוחם, העליות מחכות. בוא נבנה את הכוח המתפרץ שתצטרך בשטח.",,,
YsqrppD48ijKTALFS5OG,retention,Inactivity,army_combat,both,FOMO,1,,,"לוחם/ת, יש לך רגע? @בוא/י ל-@זמן_אימון דקות של Beast Mode.","@בוא,@זמן_אימון",,
uvXu1OvchT4sKbebARLV,retention,Inactivity,army_combat,both,FOMO,1,,,"לוחם/ת, בדרך הביתה? @בוא/י לאימון כוח קצר ב@מיקום.","@בוא,@מיקום",,
AQkdGyDyQBRItje1x5ZP,retention,Inactivity,army_job,both,FOMO,1,,,בבסיס ואין כוח? @בוא/י ל-@זמן_אימון דקות של מרץ בחדר.,"@בוא,@זמן_אימון",,
iWQB8OmhUoip6n4KQkhw,retention,Inactivity,army_job,both,FOMO,1,,,"ג'ובניק/ית, הגב נתפס? @בוא/י ל-@זמן_אימון דקות של שחרור בבסיס.","@בוא,@זמן_אימון",,
9j7XEDm4g7hEAPDaVc5p,retention,Inactivity,generic,both,FOMO,1,,,קיץ בפתח! בוא/י לעבוד על הגזרה ב@זמן_אימון דקות ממוקדות.,@זמן_אימון,,
BTTxrxBhYCg7tAUkrgZQ,retention,Inactivity,generic,both,FOMO,1,,,תקוע/ה בשדה התעופה? @זמן_אימון דקות של שחרור והטיסה תעבור בקלות.,@זמן_אימון,,
DjxZlWpOFXjZRWR9byWQ,retention,Inactivity,generic,both,FOMO,1,,,נחיתה רכה @שם! בוא/י לשחרר את הגב מהטיסה ב@מיקום.,"@שם,@מיקום",,
GUme4lrkwxVJNG5Wtbq5,retention,Inactivity,generic,both,FOMO,1,,,"הגשם בחוץ, האימון בפנים. אל תתנ/י למזג האוויר לעצור אותך.",,,
I4aqfnyK7QkKDIRZrkjN,retention,Inactivity,generic,both,FOMO,1,,,בחופשה? @זמן_אימון דקות של @קטגוריה והמשך יום מהנה.,"@זמן_אימון,@קטגוריה",,
OMTCfYaNNSAQ2vFQ7Rnc,retention,Inactivity,generic,both,FOMO,1,,,מתחת לשמיכה? @בוא/י ל-@זמן_אימון דקות של חורף חם בסלון.,"@בוא,@זמן_אימון",,
YQWzPero5SVrVBeBb0b4,retention,Inactivity,generic,both,FOMO,1,,,בדרך לים? @זמן_אימון דקות של @קטגוריה ו@את/ה בשיא שלך.,"@זמן_אימון,@קטגוריה,@את",,
bywrV4oQtuVORZk1sJDg,retention,Inactivity,generic,both,FOMO,1,,,חמישי שמח @שם! סוגרים שבוע באימון peak ב@מיקום.,"@שם,@מיקום",,
i487OWPfMfimcda51Mbq,retention,Inactivity,generic,both,FOMO,1,,,"שבוע חדש, אנרגיה חדשה. @בוא/י לאימון התנעה ב@מיקום.","@בוא,@מיקום",,
kbcOu7pgxCd5HoFUSzv6,retention,Inactivity,generic,both,FOMO,1,,,"חייל/ת, רמה @רמה נראית עליך מעולה. בוא/י להתקדם.",@רמה,,
oNy8xvBVCZeRShXad9Re,retention,Inactivity,generic,both,FOMO,1,,,גשום בחוץ? הכי כיף להתאמן בבית. @בוא/י ל-@זמן_אימון דקות.,"@בוא,@זמן_אימון",,
uC0kBtZJPEnaOtqITsYO,retention,Inactivity,generic,both,FOMO,1,,,יום שמש מושלם! @בוא/י לאימון קצר בחוץ ב@מיקום.,"@בוא,@מיקום",,
vPnGjdijmKT4tf2UJAiO,retention,Inactivity,generic,both,FOMO,1,,,לוהט בחוץ! @בוא/י לאימון ממוזג ב@מיקום.,"@בוא,@מיקום",,
0mpOkAdXjTEX2myhv1L8,retention,Inactivity,high_tech,both,FOMO,1,,,מחשבון קלוריות בפעולה. @סטטוס_נפח מצוין השבוע!,@סטטוס_נפח,,
2P8mCre0kEo6XlaM1hzd,retention,Inactivity,high_tech,both,FOMO,1,,,מהמקלדת לאימון. @זמן_אימון דקות של @קטגוריה מחכות לך.,"@זמן_אימון,@קטגוריה",,
9mmo4gDfaK3AgLTl4Q8h,retention,Inactivity,high_tech,both,FOMO,1,,,זמן לעדכון גרסה לגוף. @את/ה ב-@אחוז_התקדמות_רמה ל@רמה_הבאה.,"@את,@אחוז_התקדמות_רמה,@רמה_הבאה",,
HY3BlVNjgRuYt7hLnjA5,retention,Inactivity,high_tech,both,FOMO,1,,,"@שם, רמה @רמה כבר קטנה עליך. @בוא/י לטפס ל@רמה_הבאה.","@שם,@רמה,@בוא,@רמה_הבאה",,
I5dENqYIFHN5rENKgSQf,retention,Inactivity,high_tech,both,FOMO,1,,,שורשי כף היד כואבים? @בוא/י ל-@זמן_אימון דקות של שחרור ב@מיקום.,"@בוא,@זמן_אימון,@מיקום",,
Kcxm9nlZhCmSOerVF6jX,retention,Inactivity,high_tech,both,FOMO,1,,,אזל ה-Battery? @בוא/י לבוסט אנרגיה קצר ב@מיקום.,"@בוא,@מיקום",,
NFN7TCZ1loaRo7YnUYMi,retention,Inactivity,high_tech,both,FOMO,1,,,מספיק מסכים להיום. @בוא/י לראות קצת @מיקום באימון @קטגוריה.,"@בוא,@מיקום,@קטגוריה",,
PUMMcpWPxIlFDulohwLz,retention,Inactivity,high_tech,both,FOMO,1,,,רוצה לנקות את הראש מהמשרד? ריצת טמפו היא הריסטרט המושלם עבורך.,,,
RLyEfdl1nV1r04qztbWc,retention,Inactivity,high_tech,both,FOMO,1,,,אופטימיזציה ל@מיקוד. @את/ה קרוב/ה ל@תרגיל_יעד.,"@מיקוד,@את,@תרגיל_יעד",,
cFohoP0WAy4DogXSBkNa,retention,Inactivity,high_tech,both,FOMO,1,,,"עוצר/ת לצהריים? קחי @זמן_אימון דקות למתיחה במשרד, הגב שלך יודה לך.",@זמן_אימון,,
d3Kia5QEUJYeXBHG6qUY,retention,Inactivity,high_tech,both,FOMO,1,,,"ברוך השב. @ימי_אי_פעילות ימים של חופש נגמרו, חוזרים למסלול.",@ימי_אי_פעילות,,
di9PlCcfyz8AUS6sGTda,retention,Inactivity,high_tech,both,FOMO,1,,,אופציה לאימון קרוב! @מרחק מפריד בינך לבין אימון @קטגוריה.,"@מרחק,@קטגוריה",,
eylg0Ubs0WfeHtPFtuhL,retention,Inactivity,high_tech,both,FOMO,1,,,ספרינט מהיר בין משימות. @זמן_אימון דקות וסיימת.,@זמן_אימון,,
j6DfUCqojeoelc7MnFju,retention,Inactivity,high_tech,both,FOMO,1,,,פגישה הסתיימה? זה זמן לבוסט של @קטגוריה.,@קטגוריה,,
kPSooxa4ueqlvikdN6PK,retention,Inactivity,high_tech,both,FOMO,1,,,עמוד השדרה שלך צריך אוויר. @בוא/י ל-@זמן_אימון דקות של @קטגוריה.,"@בוא,@זמן_אימון,@קטגוריה",,
lXSZWVpFKrTpjRPx7EBL,retention,Inactivity,high_tech,both,FOMO,1,,,יום ארוך? @בוא/י לסגור אותו עם @מיקוד שמרענן את המערכת.,"@בוא,@מיקוד",,
qz1OpaPrQKFGpCLj1NdL,retention,Inactivity,high_tech,both,FOMO,1,,,"יש באג בלו""ז: חסר לנו @פער_שבועי. @בוא/י לסגור את זה.","@פער_שבועי,@בוא",,
r3IaIVhADqRAeIdbJQhX,retention,Inactivity,high_tech,both,FOMO,1,,,הגב תפוס מהמשרד? @זמן_אימון דקות של מתיחות בכיסא והכל משתנה.,@זמן_אימון,,
sNBAr31aNPTKCUAQeQeV,retention,Inactivity,high_tech,both,FOMO,1,,,"@שם, בוא/י נבצע Deploy לפוקוס שלך. @זמן_אימון דקות של @קטגוריה.","@שם,@זמן_אימון,@קטגוריה",,
uYOs2ruxJxfU6J0hrzZa,retention,Inactivity,high_tech,both,FOMO,1,,,עייפות מצטברת? @בוא/י לאימון @עצימות קצר לשמירה על הרצף.,"@בוא,@עצימות",,
yoKcFQVAmuVidsO8fQLa,retention,Inactivity,high_tech,both,FOMO,1,,,הגב צועק 404? @בוא/י ל@זמן_אימון דקות של שחרור.,"@בוא,@זמן_אימון",,
0IRM5zxRrcn2RktKDPdf,retention,Inactivity,parent,both,FOMO,1,,,"@שם, אבא עקבי = תוצאות. @זמן_אימון דקות של @קטגוריה מחכות לך.","@שם,@זמן_אימון,@קטגוריה",,
2M6xYhsLSCs7FVvnbWiF,retention,Inactivity,parent,both,FOMO,1,,,בגינה? @בוא/י ל-@זמן_אימון דקות של @קטגוריה בזמן שהם נהנים.,"@בוא,@זמן_אימון,@קטגוריה",,
5cdPteYMSlLzpP8ZlO5m,retention,Inactivity,parent,both,FOMO,1,,,אחרי הפיזורים: @זמן_אימון דקות של ריצה לניקוי ראש.,@זמן_אימון,,
79AV1cAtrhqAPHszKwWO,retention,Inactivity,parent,both,FOMO,1,,,"אמא, הליבה שלך צריכה פוקוס. @בוא/י לאימון בטן ממוקד.",@בוא,,
8QGXYLnzJa5jUN5pm3rN,retention,Inactivity,parent,both,FOMO,1,,,"@שם, רמה @רמה כבר קטנה עלייך. בואי נתקדם ל@רמה_הבאה.","@שם,@רמה,@רמה_הבאה",,
8qWPKU27lmeL3CXA9HC8,retention,Inactivity,parent,both,FOMO,1,,,"סוגרת פערים בסופ""ש? @פער_שבועי מחכה שתחסלי אותו.",@פער_שבועי,,
DB29gzNiF0PCWCbvvte9,retention,Inactivity,parent,both,FOMO,1,,,מרחק נגיעה! @אחוז_התקדמות_רמה ואת ברמה @רמה_הבאה.,"@אחוז_התקדמות_רמה,@רמה_הבאה",,
Foff5VthaAIYRDgCE01q,retention,Inactivity,parent,both,FOMO,1,,,בפארק? נצלי @זמן_אימון דקות לחיטוב @מיקוד.,"@זמן_אימון,@מיקוד",,
IYBZljQe34zJBeTSEFNn,retention,Inactivity,parent,both,FOMO,1,,,לפני שנכנסים ללופ של העבודה: @זמן_אימון דקות אמא חזקה.,@זמן_אימון,,
IuiqKJ0z0mbscmCc3Kzn,retention,Inactivity,parent,both,FOMO,1,,,16:00 בגינה. @בוא/י ל@זמן_אימון דקות של @קטגוריה בזמן שהם בנדנדות.,"@בוא,@זמן_אימון,@קטגוריה",,
Lf3mJmLo00bOAUoRZZgO,retention,Inactivity,parent,both,FOMO,1,,,אמא עקבית = תוצאות. @סטטוס_נפח שלך מרשים השבוע.,@סטטוס_נפח,,
NthfT8BTr0UoQOtiEHGP,retention,Inactivity,parent,both,FOMO,1,,,מטיילת בחוץ? הפכי את זה לאימון @קטגוריה ב@מיקום.,"@קטגוריה,@מיקום",,
OAIGGek0DjfOaXa8ohKG,retention,Inactivity,parent,both,FOMO,1,,,"אבא, המודל לחיקוי שלהם צריך לחזק @מיקוד היום.",@מיקוד,,
OiEst7JycIpMmqWL1CgR,retention,Inactivity,parent,both,FOMO,1,,,בפארק? @בוא/י ננצל את זה לאימון @קטגוריה קצר.,"@בוא,@קטגוריה",,
PjoYXRlg4S4NVEw7iVIm,retention,Inactivity,parent,both,FOMO,1,,,"@שם, @את/ה במרחק נגיעה מ@רמה_הבאה. בואי נתקדם.","@שם,@את,@רמה_הבאה",,
RLbw90MFii20Mqa1FkQ4,retention,Inactivity,parent,both,FOMO,1,,,יש לנו @פער_שבועי ב@מיקוד. @בוא/י לסגור אותו עכשיו.,"@פער_שבועי,@מיקוד,@בוא",,
TSe2ayh0PJvzVxTXefri,retention,Inactivity,parent,both,FOMO,1,,,הגב תפוס? @בוא/י ל-@זמן_אימון דקות של פתיחת שכמות ב@מיקום.,"@בוא,@זמן_אימון,@מיקום",,
TzBDyGNcIY1IqeooxgY4,retention,Inactivity,parent,both,FOMO,1,,,"אבא, הגב צועק? @בוא/י ל@זמן_אימון דקות של תחזוקת גוף.","@בוא,@זמן_אימון",,
U444l2BQFlIT7V6sOOpL,retention,Inactivity,parent,both,FOMO,1,,,"@שם, קחי @זמן_אימון דקות לעצמך לפני שהבית מתעורר. @קטגוריה מחכה.","@שם,@זמן_אימון,@קטגוריה",,
XpqV4YuzGI1CVbzabDt2,retention,Inactivity,parent,both,FOMO,1,,,"אבא, הפארק קרוב! @זמן_הגעה דקות של אימון @קטגוריה ו@את/ה אחרי זה.","@זמן_הגעה,@קטגוריה,@את",,
Y0bj977DyTfUAFVa2Q1n,retention,Inactivity,parent,both,FOMO,1,,,עובדים על @סקייל_נוכחי. @את/ה קרובה ל@תרגיל_יעד.,"@סקייל_נוכחי,@את,@תרגיל_יעד",,
Y1OHNr4BhtdiXqQD8Blu,retention,Inactivity,parent,both,FOMO,1,,,"אמא, יש לך @זמן_אימון דקות? זה כל מה שצריך ל@מיקוד חזק.","@זמן_אימון,@מיקוד",,
aEqFVOZb2EFeAol6M68M,retention,Inactivity,parent,both,FOMO,1,,,"@שם, המודל לחיקוי שלהם צריך לחזק @מיקוד היום.","@שם,@מיקוד",,
aZ566MooSZTboPoftgwz,retention,Inactivity,parent,both,FOMO,1,,,רק עוד קצת! @אחוז_התקדמות_רמה ואבא עובר ל-@רמה_הבאה.,"@אחוז_התקדמות_רמה,@רמה_הבאה",,
bRLtLP9Au02VnnLGzGDF,retention,Inactivity,parent,both,FOMO,1,,,הילדים נרדמו? @זמן_אימון דקות של @קטגוריה יסדרו לך את הראש.,"@זמן_אימון,@קטגוריה",,
fihdHBYm4TgC5l5neK2r,retention,Inactivity,parent,both,FOMO,1,,,אימון @קטגוריה בסלון. @זמן_אימון דקות ואת אחרי זה.,"@קטגוריה,@זמן_אימון",,
kCOIx3zUA1MVOoXlvmWT,retention,Inactivity,parent,both,FOMO,1,,,"@שם, חזקי את ה@מיקוד היום. אמא חזקה זה אמא בריאה.","@שם,@מיקוד",,
kSAdZSgd7FYYNJC9omjt,retention,Inactivity,parent,both,FOMO,1,,,"@שם, @את/ה ב-@אחוז_התקדמות_רמה מהרמה הבאה. @בוא/י נתקדם.","@שם,@את,@אחוז_התקדמות_רמה,@בוא",,
kpfoF8sNb3EuCEtDIpDO,retention,Inactivity,parent,both,FOMO,1,,,הם שקועים במשחק? @בוא/י ל@זמן_אימון דקות של @קטגוריה.,"@בוא,@זמן_אימון,@קטגוריה",,
l5CJQEiI2uaRUEBjj1X8,retention,Inactivity,parent,both,FOMO,1,,,"@שם, סופש בפתח. @בוא/י לסגור @פער_שבועי.","@שם,@בוא,@פער_שבועי",,
lRORnw35fAT9QxPFiQ9J,retention,Inactivity,parent,both,FOMO,1,,,לילה לבן? @בוא/י לאימון @עצימות קצר רק כדי להזרים דם.,"@בוא,@עצימות",,
likQFeWsXynmcOkOrvYO,retention,Inactivity,parent,both,FOMO,1,,,זקוקה לריסטרט? @זמן_אימון דקות של @קטגוריה והכל נראה אחרת.,"@זמן_אימון,@קטגוריה",,
pdiJTQFdyZCyeD21TdTr,retention,Inactivity,parent,both,FOMO,1,,,"@שם, הגן סגור? זה הזמן שלך. @זמן_אימון דקות של @קטגוריה.","@שם,@זמן_אימון,@קטגוריה",,
pdms0Dmxb4Yok5BzSDSS,retention,Inactivity,parent,both,FOMO,1,,,השקט הגיע. @זמן_אימון דקות של @קטגוריה והיום הזה מושלם.,"@זמן_אימון,@קטגוריה",,
qDJ62mPbcsw09aWkn4wM,retention,Inactivity,parent,both,FOMO,1,,,"התגעגענו. @ימי_אי_פעילות ימים חלפו, בוא/י ל@זמן_אימון דקות של שחרור.","@ימי_אי_פעילות,@זמן_אימון",,
rDnsUnYsH1AQYyWRcGST,retention,Inactivity,parent,both,FOMO,1,,,הזדמנות אחרונה לשקט. @בוא/י נפתח את היום ב@מיקום.,"@בוא,@מיקום",,
sfF2qL50gU9fXB3wRJqB,retention,Inactivity,parent,both,FOMO,1,,,"@שם, נשאר רק @פער_שבועי לסיום היעד השבועי. בוא/י נסגור את זה.","@שם,@פער_שבועי",,
tgV6ZeFns1Kc1TND5R0f,retention,Inactivity,parent,both,FOMO,1,,,השקט הגיע? @זמן_אימון דקות של @קטגוריה והיום הזה סגור בטוב.,"@זמן_אימון,@קטגוריה",,
tvQxlReG0WhEFkGstZco,retention,Inactivity,parent,both,FOMO,1,,,לילה לבן? @בוא/י לאימון @עצימות קצר כדי לשמור על הרצף.,"@בוא,@עצימות",,
uVETrlyVYQrtl5zQIVPj,retention,Inactivity,parent,both,FOMO,1,,,"אמא, נשאר לך @פער_שבועי קטן. @בוא/י לסגור אותו עכשיו.","@פער_שבועי,@בוא",,
wqu2dcAcxgUunD1txRYD,retention,Inactivity,parent,both,FOMO,1,,,"זמן לשקט שלך @שם. בוא/י לריצה קלה ב@מיקום, רק את/ה והאוויר.","@שם,@מיקום",,
0ZMorKsVfY0GOmDFULC5,retention,Inactivity,reservist,both,FOMO,1,,,"@שם, הורדת ווסט? @בוא/י ל@זמן_אימון דקות של פריקת מתח מהגב.","@שם,@בוא,@זמן_אימון",,
1AuoCD8uR5SxFnQE0ctR,retention,Inactivity,reservist,both,FOMO,1,,,חזרת מהשטח? @בוא/י לאימון @עצימות קצר כדי לחזור למסלול.,"@בוא,@עצימות",,
7Koyo2raQMN6gQyp3EDn,retention,Inactivity,reservist,both,FOMO,1,,,סוף שמירה? @בוא/י לשחרר את המתח ב@מיקוד לפני השינה.,"@בוא,@מיקוד",,
9Ty5dunpTQ7yKdn57MYi,retention,Inactivity,reservist,both,FOMO,1,,,סוגרים פערים בבאקלוג. @פער_שבועי מחכה שתחסל/י אותו.,@פער_שבועי,,
EgjiGJYkzF1Jyhu9h6lZ,retention,Inactivity,reservist,both,FOMO,1,,,חלון זמן להסתערות. @זמן_אימון דקות של @קטגוריה — צא/י לדרך.,"@זמן_אימון,@קטגוריה",,
FnKN2RF3d0bxXCML0FHM,retention,Inactivity,reservist,both,FOMO,1,,,ב@מיקום? תנאי שטח זה הזמן שלך לזרוח. @בוא/י לאימון.,"@מיקום,@בוא",,
HBnoRozHF4rtyI65xpHs,retention,Inactivity,reservist,both,FOMO,1,,,המטרה בטווח פגיעה: @אחוז_התקדמות_רמה ל@רמה_הבאה. @בוא/י.,"@אחוז_התקדמות_רמה,@רמה_הבאה,@בוא",,
JKOqcQ2dWnfbA92GryVB,retention,Inactivity,reservist,both,FOMO,1,,,"עקביות היא כוח. @את/ה ב-@אחוז_התקדמות, אל תעצור/תעצרי.","@את,@אחוז_התקדמות",,
NxjH8wGXDG1JhzFy91Bh,retention,Inactivity,reservist,both,FOMO,1,,,הגב תפוס מהשמירה? @זמן_אימון דקות של @קטגוריה ו@את/ה חדש/ה.,"@זמן_אימון,@קטגוריה,@את",,
UnNUHOgfWV0texvUqPye,retention,Inactivity,reservist,both,FOMO,1,,,רמה @רמה קטנה עליך. @בוא/י להסתער על @רמה_הבאה.,"@רמה,@בוא,@רמה_הבאה",,
